Number of Images: 2
opening  /proj3/Slimer/Slimer_mk2/7_10_2013/no_source_7_10_2013_200msec/no_source_7_10_2013_200msec001t11118.tif
opening  /proj3/Slimer/Slimer_mk2/7_10_2013/no_source_7_10_2013_200msec/no_source_7_10_2013_200msec001t01118.tif
preparing to cycle
DBSCAN maxCounts: 0.0
DBSCAN maxCounts: 0.0
done with cycle
         11305648 function calls (11301641 primitive calls) in 55.320 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1094(Logger)
        1    0.002    0.002    0.004    0.004 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1109(__init__)
        1    0.009    0.009    0.011    0.011 __init__.py:119(<module>)
        1    0.017    0.017    0.103    0.103 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:126(MatplotlibDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 __init__.py:134(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:1369(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1375(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(LoggerAdapter)
        3    0.007    0.002    0.015    0.005 __init__.py:14(<module>)
        1    0.000    0.000    0.100    0.100 __init__.py:14(pylab_setup)
        1    0.015    0.015    0.086    0.086 __init__.py:141(<module>)
        1    0.009    0.009    0.081    0.081 __init__.py:142(<module>)
        1    0.006    0.006    0.015    0.015 __init__.py:147(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.009    0.009    0.056    0.056 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        2    0.018    0.009    0.070    0.035 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.002    0.002    0.004    0.004 __init__.py:19(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:192(Semaphore)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:199(UTC)
        4    0.047    0.012    0.180    0.045 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        3    0.000    0.000    0.260    0.087 __init__.py:202(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:218(Verbose)
        3    0.020    0.007    0.164    0.055 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        2    0.000    0.000    0.000    0.000 __init__.py:244(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:25(deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
       21    0.000    0.000    0.000    0.000 __init__.py:270(report)
        3    0.000    0.000    0.000    0.000 __init__.py:281(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
     13/7    0.000    0.000    0.262    0.037 __init__.py:291(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:295(_LazyDict)
        6    0.066    0.011    1.055    0.176 __init__.py:3(<module>)
       21    0.000    0.000    0.000    0.000 __init__.py:302(ge)
        1    0.011    0.011    0.232    0.232 __init__.py:317(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:324(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:349(ConvergenceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:37(_NoseTester)
        1    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        2    0.009    0.004    0.014    0.007 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:382(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:390(checkdep_ps_distiller)
        4    0.025    0.006    0.930    0.232 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:407(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:426(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.011    0.005    0.015    0.007 __init__.py:44(<module>)
        1    0.007    0.007    0.064    0.064 __init__.py:45(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:46(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:467(_get_home)
        1    0.006    0.006    0.013    0.013 __init__.py:47(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        3    0.011    0.004    0.078    0.026 __init__.py:5(<module>)
        3    0.000    0.000    0.261    0.087 __init__.py:508(_get_configdir)
        1    0.001    0.001    0.011    0.011 __init__.py:52(<module>)
        1    0.008    0.008    0.012    0.012 __init__.py:525(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:536(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:544(_get_data_path)
       16    0.000    0.000    0.000    0.000 __init__.py:56(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:573(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:583(_get_data_path_cached)
        3    0.032    0.011    0.140    0.047 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
        1    0.000    0.000    0.102    0.102 __init__.py:616(matplotlib_fname)
        6    0.000    0.000    0.000    0.000 __init__.py:62(_decorate_class)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Handler)
        1    0.007    0.007    0.031    0.031 __init__.py:65(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:691(RcParams)
        2    0.003    0.001    0.104    0.052 __init__.py:7(<module>)
